date,btc_cap,crypto_cap,crypto_index,ln_crypto_index,crypto_index_diff,
29/4/2013,1575032004,1661441770,86409766,18.27461126,,
30/4/2013,1501657493,1592765051,91107558,18.32755132,0.052940063,
1/5/2013,1298951550,1378705103,79753553,18.19445185,-0.133099472,
2/5/2013,1148667722,1220763415,72095693,18.09350486,-0.100946986,
3/5/2013,1011066494,1075224202,64157708,17.9768548,-0.116650066,
4/5/2013,1236351844,1316363524,80011680,18.19768318,0.220828384,
5/5/2013,1298377788,1382120536,83742748,18.24326013,0.045576952,
6/5/2013,1315992304,1393824485,77832181,18.17006554,-0.073194593,
7/5/2013,1183766500,1254637674,70871174,18.07637434,-0.093691205,
8/5/2013,1253655040,1330986953,77331913,18.16361727,0.087242938,
9/5/2013,1258130700,1334911702,76781002,18.1564678,-0.007149477,
10/5/2013,1322989457,1395116543,72127086,18.0939402,-0.062527593,
11/5/2013,1259239352,1332012007,72772655,18.10285082,0.00891062,
12/5/2013,1278708679,1350327204,71618525,18.08686433,-0.015986497,
13/5/2013,1306721052,1377789386,71068334,18.07915242,-0.007711905,
14/5/2013,1277278988,1345650748,68371760,18.04047043,-0.038681991,
15/5/2013,1273849681,1338823587,64973906,17.9894963,-0.050974131,
16/5/2013,1289277412,1353313527,64036115,17.97495778,-0.014538522,
17/5/2013,1374605382,1443958629,69353247,18.05472352,0.079765745,
18/5/2013,1383755085,1455779820,72024735,18.09252016,0.037796636,
19/5/2013,1346499262,1417905572,71406310,18.0838968,-0.008623361,
20/5/2013,1370131821,1441122694,70990873,18.07806188,-0.005834921,
21/5/2013,1374154118,1443607754,69453636,18.05616998,-0.021891897,
22/5/2013,1375791900,1445715359,69923459,18.06291176,0.006741779,
23/5/2013,1407041528,1478020525,70978997,18.07789457,0.014982815,
24/5/2013,1474180657,1545112414,70931757,18.0772288,-0.000665771,
25/5/2013,1464316690,1533661573,69344883,18.05460292,-0.022625887,
26/5/2013,1507769010,1580501022,72732012,18.10229218,0.047689259,
27/5/2013,1445444606,1515097522,69652916,18.05903512,-0.043257052,
28/5/2013,1448115967,1517015783,68899816,18.04816407,-0.010871058,
29/5/2013,1481781795,1494663310,12881515,16.3713039,-1.676860169,
30/5/2013,1429308634,1496904749,67596115,18.02906107,1.657757173,
31/5/2013,1436386730,1501246629,64859899,17.9877401,-0.041320967,
1/6/2013,1449499974,1513483050,63983076,17.97412917,-0.013610933,
2/6/2013,1362684200,1425253662,62569462,17.95178789,-0.022341279,
3/6/2013,1361765704,1421300914,59535210,17.90207846,-0.049709429,
4/6/2013,1364113640,1428937992,64824352,17.98719189,0.085113433,
5/6/2013,1369233814,1431055975,61822161,17.93977245,-0.047419443,
6/6/2013,1339234925,1399369412,60134487,17.91209406,-0.027678388,
7/6/2013,1239395972,1295759699,56363727,17.84733637,-0.064757691,
8/6/2013,1220874393,1276440352,55565959,17.83308132,-0.014255048,
9/6/2013,1123844958,1175742721,51897763,17.76478625,-0.068295078,
10/6/2013,1194605341,1249480387,54875046,17.82056927,0.055783023,
11/6/2013,1227904672,1281020351,53115679,17.78798272,-0.032586552,
12/6/2013,1222819750,1274880850,52061100,17.76792859,-0.020054129,
13/6/2013,1159766150,1209926438,50160288,17.7307342,-0.037194391,
14/6/2013,1110902570,1157471483,46568913,17.65644377,-0.074290422,
15/6/2013,1129287060,1175106991,45819931,17.64022973,-0.016214044,
16/6/2013,1134610433,1181799762,47189329,17.66967834,0.029448615,
17/6/2013,1152834600,1203069155,50234555,17.73221369,0.06253535,
18/6/2013,1204638318,1255047714,50409396,17.73568814,0.00347445,
19/6/2013,1220273470,1272106014,51832544,17.76352877,0.027840628,
20/6/2013,1254733148,1307192102,52458954,17.77554159,0.012012821,
21/6/2013,1233750009,1295399444,61649435,17.93697462,0.16143303,
22/6/2013,1214260369,1280858025,66597656,18.01417994,0.077205317,
23/6/2013,1223181000,1288678379,65497379,17.99752068,-0.016659255,
24/6/2013,1160635652,1223713187,63077535,17.95987524,-0.037645443,
25/6/2013,1175194910,1236186084,60991174,17.92623972,-0.033635519,
26/6/2013,1172207388,1235489718,63282330,17.9631167,0.036876978,
27/6/2013,1130338737,1194934899,64596162,17.98366556,0.020548854,
28/6/2013,1058953327,1121179078,62225751,17.94627948,-0.03738608,
29/6/2013,1082693996,1144211142,61517146,17.93482649,-0.011452985,
30/6/2013,1107084792,1173606025,66521233,18.01303175,0.078205257,
1/7/2013,1016445146,1081520862,65075716,17.99106201,-0.021969736,
2/7/2013,1031653673,1094150829,62497156,17.95063161,-0.040430402,
3/7/2013,895707780,950276548,54568768,17.81497226,-0.135659347,
