date,btc,ln_btc,btc_diff,spgsci,ln_spgsci,spgsci_diff,gepu,ln_gepu,gepu_diff,umcsent,ln_umcsent,umcsent_diff,abs_diff,gepu_Diff,vix,ln_vix,vix_diff,usd,ln_usd,usd_diff
1/9/2011,8.22,2.106570209,-0.28219258,590.9992,6.381814664,-0.132435253,190.366666,5.248952033,-0.120572808,60.8,4.107589789,0.021613476,1.3,21.6232648,36.53,3.598133841,0.041929004,89.7253,4.496752781,0.032015462
1/10/2011,4.87,1.583093937,-0.523476272,647.9552,6.473821558,0.092006894,166.2317883,5.113383129,-0.135568904,63.7,4.154184563,0.046594774,2.9,-24.1348777,32.83,3.491342732,-0.106791109,90.6098,4.506562375,0.009809594
1/11/2011,3.33,1.202972304,-0.380121633,658.0235,6.489240645,0.015419087,197.9289252,5.287908003,0.174524873,69.9,4.247065649,0.092881087,6.2,31.6971369,31.94,3.463859143,-0.027483589,91.2649,4.513766267,0.007203892
1/12/2011,3.42,1.229640551,0.026668247,644.9144,6.469117595,-0.02012305,182.5580373,5.207068135,-0.080839868,75,4.317488114,0.070422464,5.1,-15.3708879,25.05,3.220873828,-0.242985315,92.2056,4.524020866,0.010254599
1/1/2012,5,1.609437912,0.379797361,660.6774,6.493265672,0.024148077,161.7919668,5.086311354,-0.120756781,75.3,4.321480135,0.003992021,0.3,-20.7660705,20.23,3.007166651,-0.213707176,91.6463,4.517936602,-0.006084264
1/2/2012,5.88,1.771556762,0.162118849,703.4976,6.556064465,0.062798793,142.459776,4.959059686,-0.127251668,76.2,4.333361463,0.011881328,0.9,-19.3321908,18.42,2.913437031,-0.09372962,89.9605,4.499370685,-0.018565917
1/3/2012,5,1.609437912,-0.162118849,688.7121,6.534823332,-0.021241133,134.5359094,4.901831148,-0.057228539,76.4,4.335982696,0.002621233,0.2,-7.9238666,16.17,2.783157674,-0.130279357,90.5112,4.5054736,0.006102915
1/4/2012,4.89,1.587192303,-0.022245609,684.8785,6.52924145,-0.005581881,127.4005797,4.847336293,-0.054494854,79.3,4.373238129,0.037255432,2.9,-7.1353297,17.82,2.880321422,0.097163748,90.8156,4.508831077,0.003357477
1/5/2012,4.97,1.60341984,0.016227537,596.2044,6.390583561,-0.138657889,160.2410992,5.076679551,0.229343258,73.2,4.293195421,-0.080042708,-6.1,32.8405195,21,3.044522438,0.164201016,92.4928,4.527130804,0.018299727
1/6/2012,5.22,1.652497402,0.049077562,599.4434,6.396001558,0.005417997,189.0171108,5.241837544,0.165157993,72.3,4.280824129,-0.012371292,-0.9,28.7760116,21.13,3.050693832,0.006171394,93.8809,4.542026958,0.014896154
1/7/2012,6.52,1.874874376,0.222376974,635.8224,6.454919279,0.058917721,160.0986536,5.07579021,-0.166047334,74.3,4.308110952,0.027286823,2,-28.9184572,17.57,2.866192902,-0.184500929,93.4062,4.536957724,-0.005069233
1/8/2012,9.45,2.246014742,0.371140366,675.0332,6.514761875,0.059842596,122.8512991,4.810974674,-0.264815537,78.3,4.360547603,0.052436651,4,-37.2473545,15.69,2.753023567,-0.113169335,92.5283,4.527514544,-0.009443181
1/9/2012,9.91,2.293544348,0.047529607,665.7263,6.500878625,-0.01388325,151.9695328,5.023680059,0.212705385,82.6,4.414009681,0.053462078,4.3,29.1182337,15.28,2.726544784,-0.026478783,90.9802,4.5106419,-0.016872643
1/10/2012,12.14,2.496505786,0.202961437,637.7365,6.457925189,-0.042953436,159.4239713,5.071567139,0.047887081,82.7,4.415219602,0.001209922,0.1,7.4544385,16.28,2.789937361,0.063392577,90.7566,4.508181198,-0.002460703
1/11/2012,10.85,2.38416508,-0.112340706,650.0503,6.477049745,0.019124556,173.6180133,5.15685756,0.085290421,72.9,4.289088639,-0.126130963,-9.8,14.194042,16.7,2.815408719,0.025471359,91.4751,4.516066804,0.007885606
1/12/2012,12.34,2.512846018,0.128680938,646.5846,6.471704048,-0.005345696,168.3846886,5.126251175,-0.030606385,73.8,4.301358732,0.012270093,0.9,-5.2333247,17.31,2.851284369,0.03587565,90.8804,4.509544356,-0.006522448
1/1/2013,13.22,2.581730834,0.068884816,675.3659,6.515254618,0.04355057,167.7715778,5.122603398,-0.003647776,77.6,4.351567427,0.050208696,3.8,-0.6131108,13.51,2.603430152,-0.247854217,90.8255,4.508940083,-0.000604273
1/2/2013,20.35,3.013080912,0.431350077,648.2096,6.474214101,-0.041040517,125.4416799,4.831840949,-0.29076245,78.6,4.364371699,0.012804272,1,-42.3298979,14.07,2.644044871,0.040614719,91.5509,4.516895102,0.007955019
1/3/2013,34.55,3.54240755,0.529326638,655.0464,6.484706073,0.010491972,141.4432839,4.951898816,0.120057868,76.4,4.335982696,-0.028389003,-2.2,16.001604,13.03,2.567254391,-0.07679048,92.4132,4.526269826,0.009374724
1/4/2013,104.7,4.651099118,1.108691568,624.435,6.436847241,-0.047858832,133.4705671,4.893880982,-0.058017834,84.5,4.436751534,0.100768838,8.1,-7.9727168,13.97,2.636912173,0.069657782,92.0478,4.522308007,-0.003961818
1/5/2013,116.75,4.760034897,0.108935779,615.4581,6.422366869,-0.014480372,106.1854656,4.66518724,-0.228693742,84.1,4.432006567,-0.004744967,-0.4,-27.2851015,13.49,2.60194867,-0.034963503,92.529,4.527522109,0.005214102
1/6/2013,128.77,4.858027867,0.097992971,611.2961,6.415581457,-0.006785411,119.3631203,4.782170278,0.116983037,85.1,4.443827036,0.011820469,1,13.1776547,17.27,2.848970892,0.247022222,93.2836,4.535644315,0.008122206
1/7/2013,84.5,4.436751534,-0.421276333,638.6382,6.459338097,0.04375664,108.3023105,4.684926488,-0.097243789,82.1,4.407938016,-0.035889019,-3,-11.0608098,13.97,2.636912173,-0.212058719,93.8724,4.541936413,0.006292098
1/8/2013,96.62,4.570785759,0.134034225,657.0511,6.487761793,0.028423696,118.2672577,4.772946959,0.088020471,77.5,4.350277936,-0.05766008,-4.6,9.9649472,14.21,2.653945942,0.017033769,93.7149,4.540257195,-0.001679219
