date,usd
18/8/2011,87.1271
19/8/2011,86.8286
22/8/2011,87.0753
23/8/2011,86.9001
24/8/2011,87.1316
25/8/2011,87.2306
26/8/2011,87.0751
29/8/2011,86.8433
30/8/2011,87.001
31/8/2011,86.7739
1/9/2011,86.8512
2/9/2011,87.1797
5/9/2011,
6/9/2011,88.1645
7/9/2011,87.9699
8/9/2011,88.1162
9/9/2011,88.9514
12/9/2011,89.2192
13/9/2011,89.2653
14/9/2011,89.419
15/9/2011,89.0647
16/9/2011,89.1108
19/9/2011,89.9336
20/9/2011,89.8777
21/9/2011,90.3453
22/9/2011,92.075
23/9/2011,91.6904
26/9/2011,91.7724
27/9/2011,90.8985
28/9/2011,91.0227
29/9/2011,91.3033
30/9/2011,91.9998
3/10/2011,92.5128
4/10/2011,92.9508
5/10/2011,92.3008
6/10/2011,91.9661
7/10/2011,91.2469
10/10/2011,
11/10/2011,90.9162
12/10/2011,90.3378
13/10/2011,90.6603
14/10/2011,90.2116
17/10/2011,90.266
18/10/2011,90.5907
19/10/2011,90.3317
20/10/2011,91.1026
21/10/2011,90.279
24/10/2011,89.8558
25/10/2011,89.9525
26/10/2011,90.0836
27/10/2011,88.7882
28/10/2011,88.6382
31/10/2011,89.2053
1/11/2011,90.7296
2/11/2011,90.244
3/11/2011,90.2961
4/11/2011,90.3154
7/11/2011,90.3832
8/11/2011,90.172
9/11/2011,90.6991
10/11/2011,90.8588
11/11/2011,
14/11/2011,90.7215
15/11/2011,91.1081
16/11/2011,91.1237
17/11/2011,91.1822
18/11/2011,91.3676
21/11/2011,91.9978
22/11/2011,92.0193
23/11/2011,92.7463
24/11/2011,
25/11/2011,93.1455
28/11/2011,92.4983
29/11/2011,92.2163
30/11/2011,91.4728
1/12/2011,91.227
2/12/2011,91.3532
5/12/2011,91.1087
6/12/2011,91.2817
7/12/2011,91.2331
8/12/2011,91.668
9/12/2011,91.6122
12/12/2011,92.3375
13/12/2011,92.5456
14/12/2011,93.2176
15/12/2011,92.8858
16/12/2011,92.8252
19/12/2011,92.8685
20/12/2011,92.432
21/12/2011,92.5262
22/12/2011,92.3883
23/12/2011,92.3897
26/12/2011,
27/12/2011,92.4137
28/12/2011,92.8374
29/12/2011,92.7398
30/12/2011,92.4262
2/1/2012,
3/1/2012,91.7551
4/1/2012,92.0345
5/1/2012,92.5773
6/1/2012,92.7183
9/1/2012,92.7418
10/1/2012,92.2461
11/1/2012,92.554
12/1/2012,92.2274
13/1/2012,92.5385
16/1/2012,
17/1/2012,92.0142
18/1/2012,91.6943
19/1/2012,91.3316
20/1/2012,91.3661
23/1/2012,90.986
24/1/2012,91.181
25/1/2012,91.277
26/1/2012,90.3962
27/1/2012,90.2559
30/1/2012,90.4762
31/1/2012,90.5538
1/2/2012,90.0963
2/2/2012,89.8765
3/2/2012,89.8491
6/2/2012,89.7907
7/2/2012,89.5968
8/2/2012,89.6555
9/2/2012,89.6246
10/2/2012,90.1024
13/2/2012,89.8895
14/2/2012,90.1919
15/2/2012,90.1932
16/2/2012,90.3109
17/2/2012,90.23
20/2/2012,
21/2/2012,90.0117
22/2/2012,90.2472
23/2/2012,90.1108
24/2/2012,89.9104
27/2/2012,89.9635
28/2/2012,89.8103
29/2/2012,89.7487
1/3/2012,89.7817
2/3/2012,90.135
5/3/2012,90.2748
6/3/2012,90.8237
7/3/2012,90.6837
8/3/2012,90.2598
9/3/2012,90.4341
12/3/2012,90.6643
13/3/2012,90.5363
14/3/2012,90.9325
