date,vix
8/1/2011,23.66
8/2/2011,24.79
8/3/2011,23.38
8/4/2011,31.66
8/5/2011,32
8/8/2011,48
8/9/2011,35.06
8/10/2011,42.99
8/11/2011,39
8/12/2011,36.36
08/15/2011,31.87
08/16/2011,32.85
08/17/2011,31.58
08/18/2011,42.67
08/19/2011,43.05
08/22/2011,42.44
08/23/2011,36.27
08/24/2011,35.9
08/25/2011,39.76
08/26/2011,35.59
08/29/2011,32.28
08/30/2011,32.89
08/31/2011,31.62
9/1/2011,31.82
9/2/2011,33.92
9/6/2011,37
9/7/2011,33.38
9/8/2011,34.32
9/9/2011,38.52
9/12/2011,38.59
09/13/2011,36.91
09/14/2011,34.6
09/15/2011,31.97
09/16/2011,30.98
09/19/2011,32.73
09/20/2011,32.86
09/21/2011,37.32
09/22/2011,41.35
09/23/2011,41.25
09/26/2011,39.02
09/27/2011,37.71
09/28/2011,41.08
09/29/2011,38.84
09/30/2011,42.96
10/3/2011,45.45
10/4/2011,40.82
10/5/2011,37.81
10/6/2011,36.27
10/7/2011,36.2
10/10/2011,33.02
10/11/2011,32.86
10/12/2011,31.26
10/13/2011,30.7
10/14/2011,28.24
10/17/2011,33.39
10/18/2011,31.56
10/19/2011,34.44
10/20/2011,34.78
10/21/2011,31.32
10/24/2011,29.26
10/25/2011,32.22
10/26/2011,29.86
10/27/2011,25.46
10/28/2011,24.53
10/31/2011,29.96
11/1/2011,34.77
11/2/2011,32.74
11/3/2011,30.5
11/4/2011,30.16
11/7/2011,29.85
11/8/2011,27.48
11/9/2011,36.16
11/10/2011,32.81
11/11/2011,30.04
11/14/2011,31.13
11/15/2011,31.22
11/16/2011,33.51
11/17/2011,34.51
11/18/2011,32
11/21/2011,32.91
11/22/2011,31.97
11/23/2011,33.98
11/25/2011,34.47
11/28/2011,32.13
11/29/2011,30.64
11/30/2011,27.8
12/1/2011,27.41
12/2/2011,27.52
12/5/2011,27.84
12/6/2011,28.13
12/7/2011,28.67
12/8/2011,30.59
12/9/2011,26.38
12/12/2011,25.67
12/13/2011,25.41
12/14/2011,26.04
12/15/2011,25.11
12/16/2011,24.29
12/19/2011,24.92
12/20/2011,23.22
12/21/2011,21.43
12/22/2011,21.16
12/23/2011,20.73
12/27/2011,21.91
12/28/2011,23.52
12/29/2011,22.65
12/30/2011,23.4
1/3/2012,22.97
1/4/2012,22.22
1/5/2012,21.48
1/6/2012,20.63
1/9/2012,21.07
1/10/2012,20.69
